Date,Year,Week,Time(Year+Week/52),MS01,MS02,MS03,MS04,MS05,MS06,MS07,MS08,MS09,MS10,MS11,MS12,MS13,MS14,MS15,MS16,MS17,MS18,MS19,MS20,MS21,MS22,MS23,MS24,MS25,MS26,MS27,MS28,MS29,MS30,MS31,MS32,MS33,MS34,MS35
2013-48,2013,48,2013.923077,162.6219807,166.6998793,153.6056764,175.7440476,140.7004831,170.2022947,157.4704106,133.7481884,112.5410628,199.4399759,152.713078,131.5386473,202.0039683,223.3568841,200.7983092,210.7089372,127.5114734,106.218599,97.67451692,132.0564339,88.94251209,87.42028986,92.48731883,88.89179842,67.40760871,33.89672365,115.0700483,224.8381643,220.6419082,224.5006039,180.7844203,180.2771739,136.7626812,187.0507246,168.0555556
2013-49,2013,49,2013.942308,58.67391304,56.70833334,56.67498522,61.43452381,52.67727743,60.70833333,64.98809524,64.83333333,49.89233269,76.87085922,75.66177301,63.16744307,94.67875964,101.244824,82.41396104,82.92960662,46,44.51190476,59.25595238,63.51966873,50.68452381,39.86309524,38.60714286,30.56185301,28.86309524,NA,41.86309523,99.9247365,111.6200828,122.9415457,66.98430736,60.375,52.10119048,78.0064935,61.32142857
2013-50,2013,50,2013.961538,72.53951225,70.94171515,69.88217916,70.78268264,62.37816945,72.31099258,96.17261905,91.10103587,56.81503331,95.08418367,93.13180272,74.85943507,125.1141002,122.8528912,100.0535714,118.6779799,47.40915276,60.94339693,73.32446022,64.37585034,NA,31.13010204,54.37159864,43.35884354,31.31384945,22.27501725,54.21750222,147.1615646,133.2619048,140.6031992,75.72619047,72.09756729,64.64448052,82.72619047,76.15480896
2013-51,2013,51,2013.980769,108.0858815,108.8791408,106.2813147,118.935559,99.79399586,114.4078675,147.1032609,106.9045031,81.55214035,125.1824534,113.2228261,95.99094202,145.8661538,181.0357143,162.6823593,161.3592133,87.13017598,85.93400623,NA,93.11749483,74.83629103,62.5636646,89.00108226,75.75258799,57.10817806,35.54137291,110.5157867,225.5458075,186.9725673,180.7732919,122.1715838,NA,99.8506964,132.6200828,112.5940147
2013-52,2013,52,2014,75.20833333,69.90476191,68.88146997,81.5,73.60714285,76.6876294,93.24350651,62.72204968,47.87008124,96.35595238,76.89097744,68.20729813,114.0649586,117.0279503,114.0892857,99.92091837,71.33454107,60.8504215,NA,90.92339545,66.435559,66.18090062,54.00301933,52.08307453,39.65743616,43.32592846,50.33503401,114.6964286,131.3869048,150.6607143,90.36645962,84.29931972,70.48809524,93.22619048,74.4047619
Jan-14,2014,1,2014.019231,81.86568323,78.36568323,75.47230849,100.949793,77.4984472,86.20056937,87.18478261,92.16821945,63.92236024,95.95910973,80.62991719,81.92158385,107.8071946,116.2575052,116.6513975,114.4588509,80.48240166,74.64452085,NA,99.8460145,79.94875776,67.06547619,80.63554019,59.34756729,50.26164597,55.51194608,69.43969979,147.501294,146.3907867,131.8255694,88.98188406,84.58178054,76.44901656,96.19901656,85.24611801
Feb-14,2014,2,2014.038462,153.0545697,148.3647959,153.4464286,176.8840136,126.2132505,153.8154762,159.5643939,114.5535714,114.4761905,196.7142857,176.8785714,158.141246,204.9389234,227.9572511,229.2849379,201.2775974,119.8884576,105.0780075,31312.42938,161.4273736,99.32629871,86.43019481,85.02380952,77.04140787,62.41666667,63.96122718,131.4842133,234.2127329,232.4852484,222.052795,173.0297619,167.7916667,139.7318841,187.5584886,141.1190476
Mar-14,2014,3,2014.057692,101.2278522,97.51936909,101.9645251,105.0743447,96.77346899,102.7080582,106.0431378,114.2407695,83.99076949,117.2827812,102.9965493,97.90726362,118.7562425,128.9594548,127.659334,123.5967046,92.60144966,95.55829605,90.57270457,123.599555,86.915551,80.43546767,97.65393291,85.15449803,64.54905005,68.52527606,92.17900597,164.7736355,NA,158.2026659,110.156132,103.9483293,95.70230048,108.3957039,99.67908211
Apr-14,2014,4,2014.076923,91.73593074,84.19101732,91.77846792,94.79761905,88.11024844,93.86580087,101.4285714,105.0892857,89.07738095,101.987013,108.3038773,98.40191512,109.2911255,99.65335028,97.70885094,108.4549689,101.0342321,91.74242424,103.9697205,117.4518869,97.01569265,102.7840136,106.3398033,89.54761905,83.79112553,75.84090908,84.62554113,122.2559524,116.2699567,139.3571429,101.594697,91.92261906,91.90692641,94.4404762,89.39984471
May-14,2014,5,2014.096154,64.86309524,60.03571428,65.66071429,66.10636646,62.74404762,64.33928571,72.15800865,72.85443722,64.15816327,73.25487013,74.36417748,69.09145021,75.62337662,65.87229438,66.49296536,70.92911255,72.56818182,63.58766234,68.81493506,74.82359308,71.64765669,67.03653773,72.98268399,69.71277056,58.37554113,57.65953121,62.64560983,64.65422078,64.26734932,85.73863637,74.35768399,65.95442782,66.88419913,68.25703463,60.25550536
Jun-14,2014,6,2014.115385,169.4651562,158.8967687,159.0875212,172.4192546,155.2368718,164.9897186,170.3555901,164.8773292,142.0988613,183.5643939,163.306677,160.4693878,172.8008658,187.9026915,183.5220349,187.8558489,157.7451198,138.699793,138.3574699,152.9941811,139.7949134,141.5908385,147.3297101,147.7885611,123.935559,110.4193958,133.0237421,196.3609307,186.3835731,185.0729108,176.3532522,163.8747042,158.6420807,176.169537,157.1938406
Jul-14,2014,7,2014.134615,176.2945134,172.1680383,175.5447722,186.9666408,178.6687371,177.7481884,192.2851732,199.0719462,170.5569728,206.462659,197.2135281,191.5898739,206.3975861,179.6401515,185.3371212,203.8514493,184.2013458,177.4094909,183.95064,175.0280612,187.5407794,163.6726191,167.9193723,188.4671325,142.7662337,150.0475814,146.3654808,206.1684783,179.4069228,193.0840156,189.0758503,177.9166667,174.2326604,183.734472,176.8242754
Aug-14,2014,8,2014.153846,196.4867469,179.4382333,190.380595,198.3107472,193.6743552,202.7022163,197.9521222,188.2551829,181.4505091,226.7347498,215.6246391,180.421176,211.9411446,202.3456694,186.2660455,228.6085545,216.460392,176.0529244,178.783091,222.1147526,201.8844532,197.6175755,197.3504141,183.761119,159.1238401,161.0659667,193.4619485,212.8983437,184.11206,202.7792443,187.4814589,185.8862469,184.472205,194.1871636,188.2090443
Sep-14,2014,9,2014.173077,93.16991342,88.94859308,91.35551948,95.89285715,93.48214287,94.09307359,96.30303031,88.59794372,78.11265718,108.9526398,103.0059524,95.14285715,107.9821429,95.25465837,94.27380951,101.0119048,91.55357144,81.73214286,80.94047619,89.04321946,80.77380953,61.71428571,63.69073498,70.84523809,47.94875776,40.51481725,78.64200681,99.8052721,100.7948052,110.5297619,90.09523809,92.22644928,88.24896481,94.44642857,87.36904762
Oct-14,2014,10,2014.192308,73.81909937,68.14540816,69.02867965,73.38278749,70.09937889,77.45021645,69.88690476,70.81691136,NA,79.34523809,73.91558442,64.90441403,79.73324864,80.88690476,83.90553831,90.89725673,67.99999999,65.87836439,66.18452381,70.89718279,54.83850932,53.50595238,60.75432902,61.54166666,50.27665631,43.04254754,67.36801242,94.61904762,89.24870601,94.04166666,70.61697722,70.00378787,67.64015152,79.07142856,80.21536796
Nov-14,2014,11,2014.211538,54.70134575,53.85248448,54.48214285,52.26785714,55.23214286,55.32738095,53.11413043,53.13095238,46.58008658,60.12499999,54.0654762,55.23214286,60.69642857,56.76190476,58.18452381,49.06138245,55.2505176,36.90167984,52.81114718,58.18679385,51.94642858,51.67586579,54.89880953,46.44694616,44.03467909,45.20471014,53.35064935,66.32660455,71.61904761,73.60064935,62.16071429,54.91071429,52.4686853,62.8146998,56.71428571
Dec-14,2014,12,2014.230769,184.0402661,168.6128738,168.573499,178.5298366,180.0952229,176.7064235,183.1680195,181.2084662,162.6633632,198.4583942,186.9150253,186.738217,194.4396693,177.6718427,174.6559646,158.597386,178.5546855,172.2806601,178.9710145,169.3034649,179.3112441,173.2073286,153.9667613,170.6032091,151.7342132,154.4437409,157.7625414,181.9102119,195.996765,210.1988643,NA,175.293326,174.8165308,188.178469,184.092167
2014-13,2014,13,2014.25,70.23214286,70.44642856,69.28452381,70.85855448,69.20315735,72.70781574,67.51190477,55.23913043,52.93167702,76.52274388,62.96428571,66.69047619,71.46320346,74.88690478,79.97023809,83.875,70.8640128,50.71428571,46.25878533,64.18426501,58.93859402,49.66821946,40.19409938,45.66648181,30.87987013,44.21273292,66.05811218,87.21066252,82.81397382,75.63276398,72.66230943,74.87681159,68.49611802,NA,74.84213251
2014-14,2014,14,2014.269231,96.68696802,92.74606073,101.5984106,95.10535409,110.0723293,96.47832244,101.0636862,107.0046914,89.33217381,107.7391913,102.7589666,102.8520937,108.6520394,94.71510364,95.24749319,103.6654361,101.0795681,131.4700047,93.49714052,115.4805647,92.6130279,79.39820644,94.06334109,96.7740058,78.55504558,77.2232833,89.07617068,98.97608264,100.7993322,105.1879509,103.4858318,102.1962459,101.3281036,143.7575864,114.1040753
2014-15,2014,15,2014.288462,111.635989,107.4980625,112.3673495,107.5582163,122.9772311,107.542902,135.0499819,140.3818216,133.2274388,121.1297101,117.7232814,162.9321191,117.2097643,105.6541375,103.9452563,119.5152641,122.8721228,152.4371266,137.9795205,127.7504415,134.7109753,116.3243208,139.606473,146.4898227,103.8298246,122.444745,105.7301473,105.6233672,102.2427232,148.386684,112.8263281,112.4181876,117.7715041,126.0496502,120.8325497
2014-16,2014,16,2014.307692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-17,2014,17,2014.326923,68.67386231,74.15266666,85.32722944,74.91174242,NA,74.45272727,73.38227273,94.39560605,71.28439395,87.39340911,76.68083333,83.58507577,84.51848485,71.08583333,89.82752165,104.0446212,75.58816253,NA,74.21401515,64.54338744,75.30035715,60.95219697,65.93484849,NA,NA,60.8375,85.27477272,73.67674243,84.29606061,86.08285573,93.72598486,88.13630764,80.24643938,NA,68.38733333
2014-18,2014,18,2014.346154,58.08108548,55.49781466,55.61729988,NA,65.86315439,NA,59.11988754,60.83957039,57.01925465,65.80482307,56.60297619,61.2164966,65.86494683,55.40442547,NA,NA,55.30974026,44.41394928,53.95395022,51.5048913,48.37607217,38.70434783,43.03119942,40.72152974,45.67468944,37.8301501,52.31891822,64.45966968,57.60909864,66.93919413,59.04760493,57.29178901,59.42463768,61.72644928,52.83216874
2014-19,2014,19,2014.365385,44.5254329,38.9859042,41.88333333,39.17619048,49.67835498,41.56666667,46.25178571,53.96845238,48.0672619,45.55054732,44.17343074,52.61645022,48.20357143,45.98998918,NA,NA,44.28273809,37.22959957,46.36190476,40.9675207,NA,33.4797619,36.07440476,33.82857143,32.03392857,34.30119048,41.33214286,NA,43.94101732,52.85310559,46.97202381,47.83928571,47.63928571,48.68273809,42.30416667
2014-20,2014,20,2014.384615,102.7385611,102.3416515,100.3493012,105.2311397,107.1285808,96.4925607,98.65604884,107.9315476,90.44862836,105.7873198,99.5109472,102.8850466,104.3863354,107.9289079,108.0224638,107.5207839,101.3554607,88.67753624,91.35820393,83.89501552,86.45729814,78.00176454,74.40975672,75.92082224,83.33242754,77.47250847,95.40694288,NA,99.38116313,137.7954451,106.2539596,106.9748188,105.1267598,110.8077899,89.72430124
2014-21,2014,21,2014.403846,57.90828755,60.6491342,54.29249483,57.65714285,64.23282314,56.76314935,56.08610249,57.48964803,50.21071429,64.71369564,61.13245342,65.76550207,63.73452381,66.2875,71.38690476,NA,62.47754329,47.63154762,54.23928571,44.42202381,NA,NA,46.3380176,41.6896645,48.3302795,36.69583333,46.74681677,70.19857661,61.65405845,NA,64.53793996,65.40978261,68.39583333,77.68561077,57.48519669
2014-22,2014,22,2014.423077,41.53498965,43.45833333,43.44821429,44.55821428,45.86369048,42.89387755,42.96563147,38.8492347,31.94943064,48.49194862,43.90833333,43.69559524,49.5297619,52.26493271,47.71174948,NA,46.42052278,36.45747929,37.23998918,40.84285714,NA,37.25373377,36.62916667,31.95363095,34.64107143,NA,39.78095238,46.67142857,NA,NA,44.51093073,44.88571429,47.70152691,57.24624741,47.71190476
