mu0,mu1,p0,p1,sigma0,sigma1,eta,loglik,loglik.se
-6.184979939396452,-5.62840310791853,0.09683299626683638,0.9100280730078742,0.1411453859454368,0.41665418828000955,0.7130618033034104,-106.76124699305379,0.6967594496190207
-5.631681208458515,-6.187401514786656,0.10820920393851363,0.9197520292280398,0.4021311395400555,0.13144728741074013,0.11288461022721026,-107.99324535900809,0.43803704196857163
-6.174436759226365,-5.600154163632685,0.06437722542800298,0.9462417971282732,0.1467313677125657,0.38553407236498877,0.21944270550546335,-109.5373156470524,2.361157930172022
-5.6491296384664755,-6.182323837364301,0.051594566563631664,0.9355911022260297,0.35787831640736484,0.13649207687385564,0.48425912773700636,-109.59897241932994,2.0230446402778774
-6.160747350011481,-5.5605750687510405,0.07538356467592597,0.8998464777062272,0.1519719464131146,0.3944815416502626,0.6040924917313499,-109.83392036254774,0.6766355577505924
-6.180923820129248,-5.651959327230544,0.09886920320396624,0.9393427277805594,0.13124939987598924,0.41351392297079176,0.40366782720424904,-110.96865378852236,0.26689635992747907
-5.649909532485617,-6.201587932355398,0.0897725774067855,0.8731549388465943,0.4039909655732758,0.1438220669755213,0.32367831016247894,-110.99649954836954,0.3886508239815057
-6.160389453396434,-5.617345159971743,0.060069033844437784,0.9134970094103433,0.164757043454281,0.39660927489242065,0.49535143396608783,-111.52613136056053,0.08864855499749627
-6.193328995228447,-5.634626298003215,0.038816495083724804,0.9420948451442543,0.13671703758856282,0.4256427124664719,1.0307154034644743,-111.78568547320067,0.5937034995953326
-6.18154844703154,-5.698392846242327,0.07354512362921425,0.9152811852295526,0.1524705110527713,0.3767912263838502,0.5771115233049919,-112.50535089845455,0.37700340673001675
-6.20801262720848,-5.683077782766865,0.11652563236040256,0.9489208916799217,0.13537019144704895,0.4237601032722263,0.36553414881549,-112.62750554206288,0.3514089637390843
-6.185622504525343,-5.670741251763534,0.10845567506361417,0.9559917761079773,0.13087390393177992,0.3878995792338928,0.4665625677669973,-112.63852256749287,0.11434925076532107
-6.168885426443419,-5.672037605851474,0.10585468059774014,0.9361796185720022,0.14398094726520322,0.42467975610365566,0.5674002473560074,-112.70900740274186,0.5419467585680781
-6.165961842764406,-5.689032464355526,0.06914410634866332,0.9114946478360836,0.13452458973929585,0.40278277065450796,0.35664624054972494,-112.87160188195814,2.1664766500672803
-6.183645614482622,-5.702251110882494,0.04730230326115004,0.9433662117533543,0.14499077942346503,0.4170495097215386,0.5905952557044357,-113.16774632390508,0.1677923545788678
-6.162660496423704,-5.5802155618124,0.04305702751360336,0.9441929006686636,0.1523389355832431,0.398985333543456,0.6548060963312294,-113.50247726470053,0.8533257943309519
-6.185814192481871,-5.657862431973104,0.1306928179575564,0.943241338764096,0.1361865232983965,0.3646811110330335,0.7158035703784933,-113.7884933775223,0.633171684840259
-6.17644543129002,-5.634621535161675,0.1391675984686527,0.8991061925254936,0.13895999727576874,0.4316076320012206,0.6861739260701377,-114.51626360064029,0.3876548408776733
-6.171342160767948,-5.660029720315344,0.11025269360584034,0.9517763550115906,0.14100162043895473,0.3820387098957118,0.3899312013240702,-114.6377431926167,0.5477728931569421
-5.641460728464259,-6.181710529459056,0.05640756264211621,0.9288857796959853,0.3436525117737168,0.13523887223161093,0.9115315460213003,-115.03373155092413,0.8402557730316903
-6.144662459142304,-5.561049443067228,0.06622457234307345,0.8634467208726057,0.15687761228154712,0.3950582860312757,0.1542730977409301,-115.4782204067789,1.0621651438378121
