"logLik","logLik_se","sigma_nu","k","s_bar","s","l","m_bar","e","rho","M0","Z0"
-38.8116916168801,1.96195159598752,0.0191207193611445,0.0841135736323978,0.0173835721213184,1.06742410389827,0.0683244963512449,-5.87232423600224,0.076728805226574,0.992729151891347,-5.94910831248492,-0.456388865502053
-24.9190739818982,0.275328853997959,0.0489711000667859,0.0417849393719024,0.0343644876835165,1.4295198993103,0.0796509629834282,-5.91858828440815,0.100588561221744,0.99999953744396,-5.83773367744385,0.235947566280438
-62.7243821564745,0.570015426847376,0.00908182264166398,0.0417689815948318,0.00553456515461825,1.57394894076953,0.203096305620647,-5.98759467165133,0.116510428697653,1.13215220169935e-17,-5.31889331941856,0.700441200447237
-34.7737201570332,0.407120595396395,0.0498803904664519,0.037473460371248,0.0879739562865632,1.2241761581278,0.129084448391934,-5.94549144394546,0.108431970672323,0.230302919849447,-5.4853034169567,1.4251274009469
-455.530229570643,0.156770415860832,0.0147785251643353,0.214357146977178,0.0220541422546611,0.861771196284183,0.852668743913368,-5.85568795893338,0.0028675046266164,2.18607027117398e-06,-4.24930270030451,-1.26387395114405
-383.408460655671,0.219890860760693,0.0456826693685714,0.192910426829106,0.0466784669861535,0.819625012471161,1.06055837162637,-5.90344120536071,0.0043945173066291,0.999999995834737,-5.81784686992261,-0.635671525383965
-389.150330273524,0.14330890425273,0.0114294657896573,0.123131677796867,0.0667382467444133,0.794799284048271,0.838598527785838,-5.84609093485528,0.00786241323544034,0.999997516791061,-5.61757516814678,-0.148897607262225
-24.6338736580864,1.43810344456386,0.00733508797844367,0.0151880098399907,0.0691951717890331,1.23758121636716,0.0628902856147983,-5.94154842436355,0.100612852496741,5.78314503111937e-08,-5.71746046199247,-0.261263788586703
-243.997977418731,0.423735756345997,0.0433807622136545,0.132548049017923,0.0522906411157275,0.886773972291032,0.365489577601783,-5.92829475297692,0.0758260667155095,9.13800374729672e-10,-4.61632566227016,-0.489616790039434
-113.818986087309,0.284930282237655,0.0265871029719984,0.168177955088312,0.0388674185167,1.00680044126692,0.228647132251054,-5.91287325447624,0.0872316471435823,0.999999999844786,-6.44167979316001,0.593470793903263
-390.347033640007,0.150694738989059,0.03715220057351,0.142193029787041,0.0669456845992636,0.802639576948475,1.391726974203,-5.84321383536848,0.00416818340715981,2.12346639948765e-08,-6.28183249942922,-0.601424727143761
-411.153964508784,0.165314396261422,0.0233576844896652,0.230272131291772,0.0587356703116448,0.992932503747428,0.750920361768065,-5.86530145551407,0.0126638412786534,0.00195822139457524,-4.54229026391411,0.270251974954317
-391.756378806051,0.161357860467337,0.0170434250414913,0.0078484846717166,0.716112824451214,0.721828898866817,1.30208123037178,-5.78806716637609,0.0125737245946461,0.999973651667303,-5.4505264512848,0.107094505270572
-348.489491383088,0.122591344399023,0.0332145352949443,0.0576177654961549,0.0810005282281621,0.543784986030211,0.563107450313631,-5.84768616434476,0.00822473524860681,0.999999767320255,-5.76842584427221,-0.940620293840206
-24.3450583439928,0.527696116199222,0.0396656584147031,0.105373982862859,0.0204130560363284,1.20919952039355,0.057193864645703,-5.89072118034244,0.101678386524732,0.999999998712938,-6.03043612827356,0.589110538090167
-375.061928142374,0.228504716836387,0.0453300995353285,0.0149283531574577,0.254114611368258,0.989945516690799,0.880669819670383,-5.97375114317417,0.0573872373504481,0.999999407117286,-4.6752897743337,-0.829701105545003
-49.3081921082958,0.595876346048152,0.043443526609627,0.0223702283778116,0.0975656519638097,1.22090705198059,0.131076418866079,-5.8541179594933,0.0929853468154651,0.999999999992975,-5.10436894414401,-0.621284204851106
-43.2564608209141,0.336372151812342,0.0174786346604945,0.0843006054647937,0.0392524840345215,1.3865973231021,0.114373807026004,-6.02373115022103,0.110956754995346,0.999997764992564,-4.80582809458225,-0.386311903315946
-377.533320170454,0.132106182554901,0.0169496969612169,0.029982163804495,0.174478101192139,0.847790881128537,0.657916097344833,-5.88022343179219,0.0165138300978985,0.999907829153915,-4.32188061792795,-0.377589738671657
-424.336954641541,0.138608076004141,0.00815227906933847,0.0402144311712547,0.165317572559924,0.953173916841814,1.35019376064903,-5.81749574382602,0.00129740473798923,0.00075984753038781,-4.83550970357768,0.162313412060438
-366.158704480626,0.117643322832623,0.0398447716160939,0.0705895018739505,0.124772614702721,0.71607532158614,1.57621776821709,-5.83624582232439,0.00460816316881611,0.999999650331567,-6.49267362080637,-0.228924241482466
-25.2914463683336,0.382762621287478,0.0229525728090981,0.0368413496184195,0.0644268423969325,1.23266173241931,0.0859914678158804,-5.92392439227442,0.102176693415705,9.13747367193107e-09,-5.65342358003431,0.328814359940616
-22.1848010216547,0.408789933197823,0.0394590602704521,0.0292451616126805,0.0592784733043195,1.27439262922094,0.0607774435354588,-5.86373761221493,0.0851646082199319,0.375270258390392,-6.1038625957145,-0.1458409294545
-28.7281031420843,0.559406588209233,0.046017075616762,0.0481671076635551,0.0505653391752987,1.27088516819124,0.122985281076895,-5.9265256730873,0.108822124176588,0.789211561700993,-5.75617986324287,-0.503736693068199
-64.2302221840151,0.498166094006985,0.0284520342208033,0.0577576477820318,0.0748649759683837,1.19906122854274,0.195679288186613,-5.94122348666545,0.100905901994046,0.964419451863801,-5.1275082319592,0.464298015621729
-31.6739863318193,0.71884251917477,0.0110418903191372,0.0311062631478098,0.0256249511719705,1.46847757154171,0.107176458808781,-6.07207381609075,0.100063013034102,0.000279887453186186,-6.06890601412689,-0.719858013259513
-355.786067509867,0.206716674103071,0.0213823508826385,0.0541523969964458,0.114696121091355,0.65298517622856,1.05426957166918,-5.85307187902558,0.0147748027607636,0.999998542351217,-3.94817214182003,0.357369168606938
-47.3981136004369,0.527197073650972,0.0479424990008212,0.0668660515881592,0.0373545643576892,1.34157247055325,0.127577930098906,-5.82150656922402,0.100249932577181,0.506896708950315,-7.06213727572864,0.258755434563055
-411.582091320567,0.190261675926348,0.0259682555790984,0.145610959330147,0.0427303669252551,0.851793234589655,0.773191787590614,-5.85854545157976,0.0204251100498391,0.99999999824828,-4.96240133466751,0.47358923912735
-365.712879443103,0.192896475623207,0.0259308795394895,0.0324343764833198,0.0965115988008683,0.669005423352714,1.59755467518082,-5.88337713936445,0.0235070153713572,0.999989262129356,-5.63146802651605,0.733656536705693
-21.6647215251029,1.67575719902342,0.0363316568783449,0.0315996327389683,0.0426142767037916,1.4567309480992,0.0705707812243057,-5.98191282126481,0.0912969151188172,0.999364727112414,-6.40873994505067,0.58751494128414
-374.379090193557,0.10490515746333,0.0339923724160561,0.00855717979492732,0.705737464419852,0.8356993342569,0.685606203112478,-5.83511454191479,0.0492540500133709,1,-5.03668670129487,-0.146617384774422
-39.3896628049755,0.270158718030331,0.0315871399641328,0.0264585293320515,0.12471932552731,1.25632181534439,0.101160370624533,-5.90944678119739,0.126626551351905,0.999999999935555,-5.19798988355405,0.183138079524192
-398.956674112878,0.182257092554321,0.0306606823782022,0.0153414098473731,0.186909519326566,0.826213399546561,1.53513735527056,-5.86408547510855,0.0180430546389275,0.99999999941357,-5.28630276060651,0.557955517833232
