t,y
428,-4.114412643810344
429,-4.503070351926785
430,-4.940910134083175
431,-5.1999878476926895
432,-5.160160714585924
433,-5.3757952794322685
434,-6.154281982033341
435,-6.068898254367361
436,-5.9582126810282485
437,-5.945004138470859
438,-6.099509975201059
439,-5.984954760825584
440,-6.100959630630748
441,-6.0952574135655615
442,-5.410245819329621
443,-5.807920635560189
444,-6.123479067585685
445,-6.136781264051547
446,-5.937136097889881
447,-5.867500169748486
448,-6.064366796960572
449,-6.148420636707608
450,-6.162980051459091
451,-6.109551035220382
452,-6.140261433802853
453,-6.151195298948196
454,-6.105130343254747
455,-6.131884794672783
456,-6.157921472901469
457,-6.342944147142896
458,-6.19820196774472
459,-6.11690664142431
460,-6.12000147423665
461,-6.139632043118184
462,-6.1019470691682685
463,-6.176493167362704
464,-6.241088107602026
465,-5.10262036212622
466,-5.823908740944319
467,-6.063410865717792
468,-6.148130399270234
469,-6.183758700008217
470,-5.852246406035024
471,-5.645891560852599
472,-5.742081549685942
473,-5.922541247632173
474,-6.024166253024377
475,-5.960486738149787
476,-5.782516055786093
477,-5.978603943258029
478,-5.730253626869233
479,-5.717547832137568
480,-5.763147963921964
481,-6.107321163268626
482,-6.154281982033341
483,-5.822391364120814
484,-5.634512015109101
485,-5.744606874292696
486,-6.033987401033181
487,-6.1778319206319825
488,-6.212805284479314
489,-6.2716462179787715
490,-6.246321207725927
491,-6.16937925757444
492,-6.213585783697013
493,-6.277674634837536
494,-6.239671774739264
495,-6.241693818274693
496,-6.288952396132966
497,-6.309803919971486
498,-6.14051644671771
499,-6.26235023654813
500,-6.334864788181995
501,-6.284623494792863
502,-6.276503281276829
503,-6.26072440614697
504,-6.248720896016658
505,-4.937324022809257
506,-5.8166589663355746
507,-5.294114915482032
508,-5.396125197643281
509,-5.639075407010965
510,-5.336251973641605
511,-5.679853713888946
512,-5.841336019186011
513,-5.863279432843593
514,-5.876148359032914
515,-5.856829006799821
516,-5.393672387532808
517,-5.604542551913237
518,-5.687928478697069
519,-5.595080800753686
520,-5.548213564475709
521,-5.459545386328588
522,-5.357461289999096
523,-4.853716886840413
524,-5.5110616935747645
525,-5.066753209823058
526,-5.32358076828164
527,-5.8644698250422405
528,-6.032873418923587
529,-5.837062392043082
530,-6.0735803751941395
531,-5.9153343702534205
532,-5.882728704344236
533,-6.032920265855503
534,-6.004803708402821
535,-5.785156151952302
536,-5.5403813760826255
537,-5.842921175046796
538,-6.015292705517327
539,-5.831134376688963
540,-5.823908740944319
541,-6.073143291050307
542,-5.99118699094791
543,-6.001490011704627
544,-6.031050319018657
545,-6.054408332967993
546,-5.98453545644167
547,-5.6017994927805725
548,-5.670347924271207
549,-6.0004127758573995
550,-5.967885119565362
551,-5.982549270489464
552,-5.97469413473523
553,-5.998742368687769
554,-6.124880834537432
555,-6.121248479826998
556,-6.1432711096171175
557,-6.109173940407688
558,-5.999164786757414
559,-6.134274356998744
560,-5.767003889607846
561,-5.9623743300852805
562,-6.1128892968751165
563,-5.930701987884471
564,-6.191434576729837
565,-6.027970821529375
566,-6.226067352532355
567,-6.2268354652621625
568,-6.165515714665195
569,-6.22767829327708
570,-6.2716462179787715
571,-6.274476303846783
572,-6.2839966563652006
573,-6.104025267640935
574,-6.117447003312964
575,-6.207871068086793
576,-6.1727438391963005
577,-6.272946988646143
578,-6.2951848176833245
579,-6.263404325749262
580,-6.408851882833468
581,-5.887478782488431
582,-6.400936094120583
583,-6.386158178123931
584,-6.360837360132071
585,-6.206436596972126
586,-6.282329496997738
587,-6.419531216048998
588,-6.288150608492692
589,-6.450996737974212
590,-6.4089353929735005
591,-6.442492798094342
592,-6.497572880015567
593,-6.485385846532016
594,-6.434152181326483
595,-6.47755576649368
596,-5.936948254252911
597,-6.496209316942819
598,-6.379265510214256
599,-6.369521273797363
600,-6.21833436488332
601,-5.875985121112592
602,-5.871035611512275
603,-6.31695296176115
604,-6.29666562455623
605,-5.611099891645763
606,-5.81509573189223
607,-6.139691945805438
608,-6.186702629604205
609,-6.218927111336887
610,-6.284790804621342
611,-6.115105557999737
612,-6.106238237942057
613,-5.927382523454764
614,-6.195077226427001
615,-6.257274868695302
616,-5.92701525537207
617,-6.000173752545588
618,-6.03942220798619
619,-6.087432558916622
620,-5.9165600922339
621,-5.181510177795786
622,-5.789480835918916
623,-6.3004440935084425
624,-6.111904788738453
625,-5.440063465905516
626,-5.554162367813552
627,-4.391848519686128
628,-5.651597772422365
629,-5.653647025549361
630,-5.876148359032914
631,-5.714442690992226
632,-5.407545649445495
633,-5.636388020107856
634,-5.8297382846050425
635,-4.508638306165728
636,-5.42021640338319
637,-5.433356311078886
638,-5.58644878682445
639,-5.752947825143385
640,-5.79162583540529
641,-5.782252926737207
642,-5.838182959832308
643,-5.806875401645538
644,-5.920637835606954
645,-6.025949097207123
646,-6.041675068355947
647,-5.920637835606954
648,-5.191890351759965
649,-5.9064032313917725
650,-5.830987208106768
651,-5.872895201635193
652,-5.891012387460928
653,-5.8584718411680585
654,-5.680841870133012
655,-5.809528229426655
656,-5.6479622708487724
657,-5.6343248595440825
658,-5.789213454360891
659,-5.7756612091403445
660,-5.546872852772209
661,-5.8297382846050425
662,-5.882562974717381
663,-5.806875401645538
664,-5.8297382846050425
665,-5.8550368138763345
666,-5.792769690151647
667,-5.6115879378023426
668,-5.785156151952302
669,-5.849166836443368
670,-5.414257352609543
671,-5.776244546342759
672,-5.697831474987884
673,-5.692503962086787
674,-5.962175249411658
675,-6.0631094293136005
676,-6.325092953180871
677,-6.058911141659438
678,-6.171018045992077
679,-6.3097152974873705
680,-6.310469165669962
681,-6.323695143590274
682,-6.101768615486903
683,-6.223226197587893
684,-6.106446283206827
685,-6.138122232022764
686,-6.167124008166246
687,-6.240181122625174
688,-6.194363233694065
689,-6.047268081585914
690,-6.1787649547608465
691,-6.259894014915201
692,-6.100959630630748
693,-6.2475481915836895
694,-5.974827311479518
695,-5.468201866124628
696,-4.924270600259101
697,-5.120302147919475
698,-5.159266765388193
699,-5.298755913889033
700,-5.458420756053419
701,-5.5717841884386745
702,-5.692503962086787
703,-5.2645009036992265
704,-5.214865997631094
705,-4.659456742485806
706,-4.982528411505195
707,-5.393887464660841
708,-5.7836361362358835
709,-5.948750978389484
710,-5.976644639173554
711,-5.119357873595715
712,-5.98895847436105
713,-5.632271453913024
714,-5.53261390744765
715,-6.0638885683251456
716,-4.206436596972126
717,-5.290454451273495
718,-5.819085996383914
