Beta,mu_EI,mu_IR,rho,eta,N,loglik,loglik.se
82.55923805700198,16.671534504540258,8.36121497673064,0.03748628813598677,0.06968546464391763,9984000,-860.9967466407247,31.129049953434535
56.36302860090889,38.50619783342955,6.329449921502796,0.029479612740619433,0.08751252631205994,9984000,-902.3816195653626,6.683630094883011
71.39864489373909,12.133197672416584,8.006657003221815,0.03216842018942312,0.07859702561341173,9984000,-945.0287522034092,16.88521398952988
79.81053593976826,14.384542826628735,17.363287964828444,0.03586219552043954,0.08902058480026878,9984000,-999.1247273637492,39.82441318314835
75.54650979183708,10.153570188698493,12.189455078280874,0.035081260366069913,0.08587884802650841,9984000,-1004.485218189825,26.09770402668203
88.99794430161108,18.56988906817427,11.970827718914888,0.03883752125767019,0.07249190452373998,9984000,-1068.3049637727877,9.258931083912895
40.9523259229404,21.158437323251665,3.7293213075615737,0.026826796284490216,0.08404589449723722,9984000,-1073.1340739376933,5.8515943537224855
83.11616127211462,12.935356603351758,11.482951255713894,0.03355334187088979,0.07793069470044123,9984000,-1074.567653835996,29.96148737980693
48.37941182032694,13.06056027641914,7.754763449113985,0.02822133755672349,0.10805566290072242,9984000,-1166.1722567067125,25.594215910214736
79.99238026389348,21.615840172122965,12.613432642504696,0.031511716253462704,0.0863893903188703,9984000,-1212.7454443979786,3.816373211152235
54.88297970369463,23.494167139873465,8.913972449731528,0.029144594491479252,0.10177719434934432,9984000,-1213.952910635279,60.673208758177275
73.8265901356169,25.788086343487876,13.213442143793772,0.027794121537950103,0.09572843947469975,9984000,-1525.0322329206394,70.36609665283594
73.95295835608204,8.835961101643353,9.093700861606878,0.0257537195404865,0.08437472450711975,9984000,-1639.2227206504326,7.365406032452732
96.05687701858596,12.35041366228902,17.365467994645652,0.03356616544883428,0.08075532937024693,9984000,-1662.772748780534,11.918866761084466
61.131625931292035,13.645914709032603,6.777113340446904,0.024381445060738652,0.0874050254355133,9984000,-1721.9137125966897,25.580149733998972
67.63248023725784,15.360289120268176,6.540319921556975,0.02597533324132752,0.07930527477924426,9984000,-2453.808732610858,26.086935505513885
95.51457827139663,38.33067218358707,15.101312803936684,0.031260534886525804,0.0787012264702851,9984000,-2523.073300921099,66.64191569625727
87.29197968005718,16.93372949701026,14.145661955535415,0.02818301581249533,0.08517321612385263,9984000,-2715.6905416104587,22.338471569526106
92.16568789462444,19.88314133106626,22.2323985174459,0.02672529751753603,0.08992689888584315,9984000,-4182.73560174926,197.44792598879903
99.52484393325061,26.202478322253274,18.323034844613712,0.02686206169093123,0.08127112252945277,9984000,-5333.161476720619,63.62564507747337
35,4,2,0.01,0.0853,9984000,-7080.503154597952,25.840298549675932
