Beta,mu_IR,rho,eta,N,loglik,loglik.se
33.84391354591434,3.0757910303540905,0.06949957760794935,0.0834571437943627,9984000,-333.42936384716455,1.370833958339226
26.88635657784066,2.215673394387878,0.06318311884313624,0.08240234391644288,9984000,-346.32349481540547,0.7204194766801616
41.64222286403305,4.019515845102958,0.10026638098162008,0.08422885401378513,9984000,-368.10735427070506,33.88786035103558
35.30611803433954,4.069392566187448,0.0751800583187361,0.09865734869878302,9984000,-391.11086597021784,0.8665632929828947
40.71959772154331,3.728172050216649,0.06965966155748912,0.08210359555902957,9984000,-467.238152966224,1.4759468183460533
46.02137381452983,4.300824794567754,0.08867776480197673,0.08051758819655791,9984000,-531.5171079818273,7.004686750080621
16.387519897842683,1.4830636714953922,0.030976550190787898,0.0998498668108501,9984000,-640.3010784981132,1.1074277029092559
39.56647534751203,4.559837318637315,0.07241324826273672,0.09794130696643948,9984000,-843.9584380008914,127.72490182787082
35.53585088413242,2.9133881573754405,0.05197961286360626,0.08175001509063995,9984000,-901.6281762993335,3.4353171501387876
28.66949201096033,2.2846640289903557,0.0350434862379975,0.08681634479203128,9984000,-1109.074526474356,50.987747169062494
30.202896176986187,2.5952257265827,0.035633828629243074,0.09007669612628641,9984000,-1220.9591806936626,64.78876375983083
33.02872381540806,2.926641400527733,0.04863387162719698,0.08891079112892077,9984000,-1231.4541921795635,51.675687956178265
40.337064889181185,3.34345726795705,0.04068182371960224,0.07969196751708614,9984000,-1289.768944733936,10.295504231642981
31,2.5,0.027,0.0853,9984000,-1608.5511576247611,28.803348106060252
29.327816594505418,3.168789297442951,0.042134351445582516,0.10624929888098616,9984000,-1668.1750915028663,44.75137789858213
28.15885348251189,2.0824217946173085,0.032724944891263326,0.08517595308393706,9984000,-1769.6833114699516,0.9601571802181554
47.118151727268845,4.918527108059166,0.05661645495061118,0.08890792938624294,9984000,-2325.70334091144,368.52343960791177
34.545437451248795,2.982519183947801,0.03781150292588298,0.09144501901024751,9984000,-3936.1312610900004,75.14602983304793
