"Date","Time (LST/LDT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"1980/02/01","00:00","572.956","NaN","NaN","572.105","NaN","NaN","NaN","571.506","0"
"1980/03/01","00:00","573.327","NaN","NaN","572.309","NaN","NaN","NaN","571.696","0"
"1980/04/01","00:00","573.848","NaN","NaN","573.002","NaN","NaN","NaN","572.277","0"
"1980/05/01","00:00","573.829","NaN","NaN","573.048","NaN","NaN","NaN","572.589","0"
"1980/06/01","00:00","574.078","NaN","NaN","573.158","NaN","NaN","NaN","572.589","0"
"1980/07/01","00:00","573.796","NaN","NaN","573.019","NaN","NaN","NaN","572.136","0"
"1980/08/01","00:00","573.615","NaN","NaN","573.134","NaN","NaN","NaN","572.598","0"
"1980/09/01","00:00","573.517","NaN","NaN","572.878","NaN","NaN","NaN","572.169","0"
"1980/10/01","00:00","572.917","NaN","NaN","572.273","NaN","NaN","NaN","571.447","0"
"1980/11/01","00:00","572.388","NaN","NaN","571.813","NaN","NaN","NaN","570.696","0"
"1980/12/01","00:00","572.657","NaN","NaN","571.743","NaN","NaN","NaN","570.597","0"
"1981/01/01","00:00","571.906","NaN","NaN","571.385","NaN","NaN","NaN","570.577","0"
"1981/02/01","00:00","571.926","NaN","NaN","571.311","NaN","NaN","NaN","570.617","0"
"1981/03/01","00:00","572.526","NaN","NaN","571.866","NaN","NaN","NaN","571.476","0"
"1981/04/01","00:00","572.618","NaN","NaN","572.096","NaN","NaN","NaN","571.447","0"
"1981/05/01","00:00","572.808","NaN","NaN","572.535","NaN","NaN","NaN","572.208","0"
"1981/06/01","00:00","573.287","NaN","NaN","572.785","NaN","NaN","NaN","572.297","0"
"1981/07/01","00:00","573.258","NaN","NaN","572.843","NaN","NaN","NaN","572.487","0"
"1981/08/01","00:00","573.058","NaN","NaN","572.631","NaN","NaN","NaN","572.169","0"
"1981/09/01","00:00","573.136","NaN","NaN","572.518","NaN","NaN","NaN","571.926","0"
"1981/10/01","00:00","573.028","NaN","NaN","572.327","NaN","NaN","NaN","570.748","0"
"1981/11/01","00:00","572.946","NaN","NaN","572.144","NaN","NaN","NaN","570.827","0"
"1981/12/01","00:00","572.687","NaN","NaN","571.924","NaN","NaN","NaN","571.007","0"
"1982/01/01","00:00","572.848","NaN","NaN","571.7","NaN","NaN","NaN","569.836","0"
"1982/02/01","00:00","572.408","NaN","NaN","571.799","NaN","NaN","NaN","570.748","0"
