Date,Price,Open,High,Low,Vol,Change%
1-Feb-15,"3,075.91","3,148.14","3,251.21","3,052.94",130.10B,-4.19%
25-Jan-15,"3,210.36","3,347.26","3,390.22","3,210.31",152.70B,-4.22%
18-Jan-15,"3,351.76","3,189.73","3,406.79","3,095.07",188.88B,-0.73%
11-Jan-15,"3,376.49","3,258.21","3,400.32","3,191.58",141.54B,2.77%
4-Jan-15,"3,285.41","3,258.63","3,404.83","3,253.88",220.63B,1.57%
28-Dec-14,"3,234.68","3,212.56","3,239.36","3,126.94",131.38B,2.44%
21-Dec-14,"3,157.60","3,129.27","3,189.87","2,934.91",233.16B,1.58%
14-Dec-14,"3,108.60","2,921.45","3,117.53","2,890.90",235.37B,5.80%
7-Dec-14,"2,938.17","2,907.82","3,091.32","2,807.68",276.46B,0.02%
30-Nov-14,"2,937.65","2,691.72","2,978.03","2,665.69",261.98B,9.50%
23-Nov-14,"2,682.83","2,505.53","2,683.18","2,495.52",184.49B,7.88%
16-Nov-14,"2,486.79","2,506.86","2,508.77","2,437.48",98.07B,0.32%
9-Nov-14,"2,478.82","2,436.63","2,508.62","2,428.19",148.11B,2.51%
2-Nov-14,"2,418.17","2,425.22","2,454.42","2,401.75",138.46B,-0.08%
26-Oct-14,"2,420.18","2,293.57","2,423.60","2,279.84",119.49B,5.12%
19-Oct-14,"2,302.28","2,346.05","2,361.65","2,296.66",77.64B,-1.66%
12-Oct-14,"2,341.18","2,366.43","2,389.67","2,312.83",106.10B,-1.40%
5-Oct-14,"2,374.54","2,368.58","2,391.35","2,354.29",66.50B,0.45%
28-Sep-14,"2,363.87","2,353.71","2,365.49","2,346.58",39.40B,0.69%
21-Sep-14,"2,347.72","2,323.55","2,365.15","2,284.38",95.57B,0.78%
14-Sep-14,"2,329.45","2,330.19","2,347.93","2,282.79",109.24B,-0.11%
7-Sep-14,"2,331.95","2,328.43","2,343.59","2,302.77",80.25B,0.24%
31-Aug-14,"2,326.43","2,220.13","2,327.56","2,217.68",94.64B,4.93%
24-Aug-14,"2,217.20","2,241.10","2,241.55","2,193.26",67.59B,-1.05%
17-Aug-14,"2,240.81","2,229.80","2,248.94","2,211.63",83.52B,0.63%
10-Aug-14,"2,226.73","2,199.43","2,230.99","2,198.31",80.36B,1.47%
3-Aug-14,"2,194.42","2,190.04","2,226.84","2,180.60",83.76B,0.42%
27-Jul-14,"2,185.30","2,135.25","2,218.79","2,135.25",97.75B,2.76%
20-Jul-14,"2,126.61","2,057.77","2,127.22","2,049.18",66.25B,3.28%
13-Jul-14,"2,059.07","2,047.74","2,075.49","2,044.90",58.79B,0.59%
6-Jul-14,"2,046.96","2,058.13","2,064.43","2,033.00",50.86B,-0.60%
29-Jun-14,"2,059.37","2,038.61","2,066.64","2,038.53",53.26B,1.12%
22-Jun-14,"2,036.51","2,026.23","2,043.98","2,018.36",38.78B,0.49%
15-Jun-14,"2,026.67","2,070.70","2,087.32","2,010.53",43.11B,-2.13%
8-Jun-14,"2,070.71","2,024.94","2,073.60","2,023.20",39.77B,2.01%
1-Jun-14,"2,029.96","2,039.20","2,049.58","2,012.91",27.80B,-0.45%
25-May-14,"2,039.21","2,042.03","2,057.08","2,029.34",37.56B,0.23%
18-May-14,"2,034.57","2,023.01","2,041.96","1,991.06",32.67B,0.40%
11-May-14,"2,026.50","2,022.93","2,061.06","2,012.69",42.72B,0.76%
4-May-14,"2,011.13","2,022.18","2,038.70","2,001.30",38.30B,-0.75%
27-Apr-14,"2,026.36","2,033.34","2,035.99","1,997.64",24.05B,-0.50%
20-Apr-14,"2,036.52","2,085.98","2,103.08","2,035.57",44.49B,-2.92%
13-Apr-14,"2,097.75","2,127.41","2,134.43","2,081.18",47.70B,-1.54%
6-Apr-14,"2,130.54","2,054.53","2,146.67","2,052.90",52.73B,3.48%
30-Mar-14,"2,058.83","2,043.05","2,066.01","2,024.19",47.21B,0.84%
23-Mar-14,"2,041.71","2,050.83","2,079.55","2,035.24",62.30B,-0.29%
16-Mar-14,"2,047.62","2,009.88","2,052.47","1,986.07",53.30B,2.16%
9-Mar-14,"2,004.34","2,042.35","2,042.63","1,974.38",49.85B,-2.60%
2-Mar-14,"2,057.91","2,052.08","2,079.49","2,030.95",56.41B,0.08%
23-Feb-14,"2,056.30","2,099.72","2,099.72","2,014.38",61.76B,-2.72%
16-Feb-14,"2,113.69","2,124.88","2,177.98","2,098.33",70.91B,-0.10%
9-Feb-14,"2,115.85","2,049.98","2,122.83","2,049.98",65.09B,3.49%
2-Feb-14,"2,044.50","2,022.32","2,044.73","2,014.70",7.36B,0.56%
26-Jan-14,"2,033.08","2,044.27","2,051.58","2,026.99",29.78B,-1.04%
19-Jan-14,"2,054.39","2,001.89","2,060.99","1,984.82",39.22B,2.47%
12-Jan-14,"2,004.95","2,014.98","2,034.71","2,000.40",34.44B,-0.41%
5-Jan-14,"2,013.30","2,078.68","2,078.68","2,008.01",37.62B,-3.35%
29-Dec-13,"2,083.14","2,108.88","2,120.27","2,075.90",30.75B,-0.86%
22-Dec-13,"2,101.25","2,089.54","2,111.81","2,068.54",35.88B,0.79%
15-Dec-13,"2,084.79","2,197.23","2,201.70","2,082.85",40.40B,-5.07%
8-Dec-13,"2,196.07","2,241.79","2,250.50","2,183.84",48.30B,-1.83%
1-Dec-13,"2,237.11","2,203.12","2,260.87","2,172.63",67.08B,0.75%
24-Nov-13,"2,220.50","2,186.06","2,234.39","2,176.18",56.55B,1.10%
17-Nov-13,"2,196.38","2,147.37","2,211.07","2,143.77",65.27B,2.83%
10-Nov-13,"2,135.83","2,103.30","2,153.21","2,078.99",44.71B,1.41%
3-Nov-13,"2,106.13","2,156.09","2,166.17","2,103.51",43.35B,-2.02%
27-Oct-13,"2,149.56","2,135.88","2,163.66","2,093.20",54.83B,0.78%
20-Oct-13,"2,132.96","2,198.11","2,230.28","2,122.68",64.91B,-2.77%
13-Oct-13,"2,193.78","2,232.22","2,242.98","2,183.25",70.48B,-1.54%
6-Oct-13,"2,228.15","2,171.90","2,228.87","2,161.49",56.43B,2.46%
29-Sep-13,"2,174.66","2,167.73","2,176.30","2,165.16",9.28B,0.68%
22-Sep-13,"2,160.03","2,199.36","2,223.07","2,149.59",69.96B,-1.45%
15-Sep-13,"2,191.85","2,244.46","2,248.47","2,172.04",42.45B,-1.98%
8-Sep-13,"2,236.22","2,151.35","2,270.27","2,151.35",108.27B,4.50%
1-Sep-13,"2,139.99","2,104.09","2,143.24","2,078.46",69.99B,1.98%
25-Aug-13,"2,098.38","2,061.42","2,114.39","2,056.13",71.10B,1.99%
18-Aug-13,"2,057.46","2,055.13","2,098.98","2,029.36",49.56B,-0.53%
11-Aug-13,"2,068.45","2,058.42","2,198.85","2,055.72",61.97B,0.79%
4-Aug-13,"2,052.23","2,031.72","2,069.56","2,025.23",47.83B,1.12%
28-Jul-13,"2,029.42","1,997.84","2,047.08","1,965.36",41.09B,0.92%
21-Jul-13,"2,010.85","1,977.73","2,051.53","1,970.64",47.14B,0.91%
14-Jul-13,"1,992.65","2,046.12","2,076.66","1,990.25",49.82B,-2.30%
7-Jul-13,"2,039.49","1,983.21","2,092.87","1,946.37",51.96B,1.61%
30-Jun-13,"2,007.20","1,965.99","2,022.14","1,957.57",44.97B,1.41%
23-Jun-13,"1,979.21","2,068.86","2,068.86","1,849.65",55.51B,-4.53%
16-Jun-13,"2,073.10","2,165.99","2,169.36","2,042.88",37.83B,-4.11%
9-Jun-13,"2,162.04","2,190.10","2,190.10","2,126.22",17.22B,-2.21%
2-Jun-13,"2,210.90","2,300.21","2,313.43","2,205.07",44.68B,-3.90%
26-May-13,"2,300.59","2,286.66","2,334.33","2,281.47",58.53B,0.53%
19-May-13,"2,288.53","2,286.33","2,314.18","2,270.25",61.71B,0.25%
12-May-13,"2,282.87","2,247.68","2,288.09","2,205.87",47.76B,1.60%
5-May-13,"2,246.83","2,212.49","2,255.21","2,212.49",45.80B,1.87%
28-Apr-13,"2,205.50","2,170.78","2,222.81","2,161.14",15.69B,1.27%
21-Apr-13,"2,177.91","2,236.40","2,245.12","2,173.86",45.68B,-2.97%
14-Apr-13,"2,244.64","2,199.91","2,250.11","2,165.78",40.12B,1.72%
7-Apr-13,"2,206.78","2,196.24","2,242.48","2,180.67",39.03B,-0.83%
31-Mar-13,"2,225.30","2,229.46","2,253.42","2,217.25",24.89B,-0.51%
24-Mar-13,"2,236.62","2,334.73","2,344.89","2,228.81",51.10B,-3.94%
17-Mar-13,"2,328.28","2,267.29","2,332.00","2,232.02",53.23B,2.19%
10-Mar-13,"2,278.40","2,314.68","2,333.29","2,250.01",48.95B,-1.73%
3-Mar-13,"2,318.61","2,332.08","2,352.02","2,259.25",67.28B,-1.73%
24-Feb-13,"2,359.51","2,320.62","2,369.65","2,289.89",55.11B,1.96%
17-Feb-13,"2,314.16","2,441.91","2,444.80","2,308.76",59.10B,-4.86%
3-Feb-13,"2,432.40","2,425.92","2,443.03","2,394.22",66.40B,0.55%
27-Jan-13,"2,419.02","2,295.35","2,421.15","2,295.35",70.06B,5.57%
20-Jan-13,"2,291.30","2,321.49","2,362.94","2,287.30",65.60B,-1.11%
13-Jan-13,"2,317.07","2,236.29","2,332.78","2,235.11",70.84B,3.30%
6-Jan-13,"2,243.00","2,271.66","2,295.48","2,234.95",60.82B,-1.49%
30-Dec-12,"2,276.99","2,236.46","2,296.11","2,236.46",26.75B,1.96%
23-Dec-12,"2,233.25","2,150.65","2,234.87","2,146.86",58.86B,3.71%
16-Dec-12,"2,153.31","2,152.10","2,190.40","2,142.95",56.75B,0.12%
9-Dec-12,"2,150.63","2,067.32","2,152.50","2,059.47",52.05B,4.31%
2-Dec-12,"2,061.79","1,977.25","2,065.74","1,949.46",44.06B,4.12%
25-Nov-12,"1,980.12","2,023.34","2,027.27","1,959.33",25.83B,-2.33%
18-Nov-12,"2,027.38","2,013.25","2,034.88","1,995.17",23.83B,0.63%
11-Nov-12,"2,014.72","2,069.21","2,079.57","2,001.72",26.60B,-2.63%
4-Nov-12,"2,069.07","2,113.33","2,123.33","2,062.42",32.31B,-2.27%
28-Oct-12,"2,117.05","2,061.85","2,119.22","2,053.09",33.32B,2.46%
21-Oct-12,"2,066.21","2,118.52","2,138.03","2,058.06",36.97B,-2.92%
14-Oct-12,"2,128.30","2,105.02","2,137.69","2,085.11",32.65B,1.11%
7-Oct-12,"2,104.93","2,084.85","2,127.31","2,063.09",36.14B,0.90%
23-Sep-12,"2,086.17","2,015.77","2,089.63","1,999.48",31.24B,2.93%
16-Sep-12,"2,026.69","2,120.62","2,121.58","2,018.26",31.02B,-4.57%
9-Sep-12,"2,123.85","2,128.07","2,140.17","2,107.22",43.84B,-0.18%
2-Sep-12,"2,127.76","2,044.82","2,145.00","2,029.05",37.18B,3.92%
26-Aug-12,"2,047.52","2,085.37","2,085.37","2,032.54",27.51B,-2.13%
19-Aug-12,"2,092.10","2,102.23","2,124.19","2,089.02",28.46B,-1.08%
12-Aug-12,"2,114.89","2,164.04","2,164.04","2,100.79",28.31B,-2.49%
5-Aug-12,"2,168.81","2,129.15","2,176.80","2,127.26",36.07B,1.69%
29-Jul-12,"2,132.80","2,128.16","2,137.74","2,100.25",26.61B,0.19%
22-Jul-12,"2,128.76","2,154.17","2,158.95","2,120.63",26.36B,-1.84%
15-Jul-12,"2,168.64","2,187.89","2,197.79","2,138.79",33.29B,-0.79%
8-Jul-12,"2,185.89","2,210.71","2,216.70","2,152.67",33.24B,-1.70%
1-Jul-12,"2,223.58","2,234.32","2,244.83","2,185.52",31.47B,-0.08%
24-Jun-12,"2,225.43","2,253.51","2,253.51","2,188.72",27.94B,-1.57%
17-Jun-12,"2,260.88","2,313.53","2,325.05","2,253.79",23.38B,-1.99%
10-Jun-12,"2,306.85","2,282.89","2,319.71","2,278.16",34.29B,1.11%
3-Jun-12,"2,281.45","2,346.98","2,348.20","2,276.71",34.29B,-3.88%
27-May-12,"2,373.44","2,325.32","2,393.28","2,309.07",45.68B,1.71%
20-May-12,"2,333.55","2,343.58","2,378.08","2,327.41",38.91B,-0.47%
13-May-12,"2,344.52","2,408.26","2,411.27","2,338.24",42.17B,-2.11%
6-May-12,"2,394.98","2,441.76","2,451.95","2,393.38",46.81B,-2.33%
29-Apr-12,"2,452.01","2,421.08","2,453.73","2,407.79",33.25B,2.32%
22-Apr-12,"2,396.32","2,403.52","2,415.75","2,350.40",59.44B,-0.44%
15-Apr-12,"2,406.86","2,346.31","2,407.29","2,333.34",48.84B,2.02%
8-Apr-12,"2,359.16","2,300.05","2,369.70","2,258.85",39.87B,2.28%
1-Apr-12,"2,306.55","2,258.03","2,309.64","2,251.39",15.22B,1.93%
25-Mar-12,"2,262.79","2,349.09","2,363.77","2,242.34",33.62B,-3.69%
18-Mar-12,"2,349.54","2,401.22","2,412.34","2,342.12",45.20B,-2.30%
11-Mar-12,"2,404.74","2,438.55","2,476.22","2,366.02",61.44B,-1.42%
4-Mar-12,"2,439.46","2,464.85","2,469.84","2,388.52",50.86B,-0.86%
26-Feb-12,"2,460.69","2,447.41","2,478.38","2,418.33",55.03B,0.86%
19-Feb-12,"2,439.63","2,383.69","2,439.98","2,345.05",53.44B,3.50%
12-Feb-12,"2,357.18","2,332.05","2,374.28","2,325.03",42.52B,0.22%
5-Feb-12,"2,351.98","2,334.25","2,368.98","2,278.82",42.47B,0.93%
29-Jan-12,"2,330.40","2,324.49","2,336.27","2,263.34",30.31B,0.49%
15-Jan-12,"2,319.12","2,230.43","2,322.89","2,196.12",36.60B,3.32%
8-Jan-12,"2,244.58","2,164.74","2,295.22","2,148.45",41.38B,3.75%
1-Jan-12,"2,163.39","2,212.00","2,217.52","2,132.63",15.86B,-1.64%
25-Dec-11,"2,199.42","2,193.66","2,213.45","2,134.02",23.57B,-0.24%
18-Dec-11,"2,204.78","2,208.07","2,239.86","2,149.42",27.29B,-0.90%
11-Dec-11,"2,224.84","2,312.15","2,315.81","2,170.75",25.63B,-3.91%
4-Dec-11,"2,315.27","2,363.11","2,363.13","2,302.64",23.12B,-1.92%
27-Nov-11,"2,360.66","2,383.89","2,423.56","2,319.44",33.63B,-0.82%
20-Nov-11,"2,380.22","2,416.73","2,419.24","2,370.69",24.97B,-1.50%
13-Nov-11,"2,416.56","2,498.67","2,534.06","2,411.04",39.24B,-2.60%
6-Nov-11,"2,481.08","2,518.90","2,536.18","2,472.76",38.90B,-1.87%
30-Oct-11,"2,528.29","2,470.25","2,536.78","2,433.72",51.70B,2.22%
23-Oct-11,"2,473.41","2,322.02","2,483.76","2,307.15",46.17B,6.74%
16-Oct-11,"2,317.28","2,434.49","2,452.99","2,313.78",31.02B,-4.69%
9-Oct-11,"2,431.37","2,363.08","2,439.64","2,318.63",34.58B,3.06%
25-Sep-11,"2,359.22","2,416.23","2,441.73","2,348.22",27.64B,-3.04%
18-Sep-11,"2,433.16","2,469.60","2,517.67","2,400.14",32.37B,-1.98%
11-Sep-11,"2,482.34","2,467.73","2,499.48","2,439.37",20.80B,-0.62%
4-Sep-11,"2,497.75","2,510.10","2,528.42","2,459.54",27.04B,-1.21%
28-Aug-11,"2,528.28","2,595.47","2,615.14","2,517.62",32.05B,-3.21%
21-Aug-11,"2,612.19","2,534.57","2,616.64","2,507.78",37.00B,3.07%
14-Aug-11,"2,534.36","2,598.14","2,636.36","2,513.75",38.56B,-2.27%
7-Aug-11,"2,593.17","2,599.29","2,614.19","2,437.68",50.72B,-1.27%
31-Jul-11,"2,626.42","2,697.57","2,712.89","2,605.14",33.04B,-2.79%
24-Jul-11,"2,701.73","2,759.63","2,759.63","2,677.12",41.85B,-2.49%
17-Jul-11,"2,770.79","2,821.36","2,826.96","2,763.42",43.69B,-1.75%
10-Jul-11,"2,820.17","2,789.45","2,821.34","2,752.19",48.66B,0.80%
3-Jul-11,"2,797.77","2,770.94","2,825.12","2,770.94",53.79B,1.39%
26-Jun-11,"2,759.36","2,746.79","2,778.67","2,727.25",46.11B,0.48%
19-Jun-11,"2,746.21","2,635.83","2,759.71","2,610.99",38.27B,3.91%
12-Jun-11,"2,642.82","2,687.65","2,735.55","2,641.39",35.64B,-2.30%
5-Jun-11,"2,705.14","2,720.97","2,754.12","2,672.32",29.62B,-0.84%
29-May-11,"2,728.02","2,704.48","2,744.93","2,676.54",35.56B,0.67%
22-May-11,"2,709.95","2,853.29","2,853.29","2,708.55",40.91B,-5.20%
15-May-11,"2,858.46","2,864.38","2,884.14","2,821.20",40.40B,-0.44%
8-May-11,"2,871.03","2,868.24","2,897.14","2,832.25",44.88B,0.25%
1-May-11,"2,863.89","2,911.51","2,933.46","2,834.46",39.00B,-1.64%
24-Apr-11,"2,911.51","3,003.03","3,003.61","2,871.01",51.07B,-3.29%
17-Apr-11,"3,010.52","3,040.53","3,067.46","2,992.67",63.92B,-1.31%
10-Apr-11,"3,050.53","3,037.91","3,062.53","2,994.47",67.94B,0.68%
3-Apr-11,"3,030.02","2,964.21","3,031.10","2,963.90",38.07B,2.11%
27-Mar-11,"2,967.41","2,985.36","3,005.78","2,914.38",65.98B,-0.35%
20-Mar-11,"2,977.81","2,913.91","2,985.08","2,884.75",54.98B,2.44%
13-Mar-11,"2,906.89","2,923.98","2,939.65","2,850.94",64.11B,-0.92%
6-Mar-11,"2,933.80","2,952.72","3,012.04","2,927.68",65.14B,-0.29%
27-Feb-11,"2,942.31","2,880.17","2,944.46","2,861.82",65.75B,2.21%
20-Feb-11,"2,878.57","2,886.54","2,944.41","2,839.20",59.28B,-0.73%
13-Feb-11,"2,899.79","2,828.57","2,939.28","2,828.57",67.87B,2.56%
6-Feb-11,"2,827.33","2,778.70","2,835.41","2,760.18",29.29B,1.01%
30-Jan-11,"2,798.96","2,751.53","2,805.05","2,748.54",16.49B,1.68%
23-Jan-11,"2,752.75","2,716.52","2,759.44","2,661.45",40.92B,1.38%
16-Jan-11,"2,715.29","2,772.45","2,780.94","2,667.29",41.31B,-2.72%
9-Jan-11,"2,791.34","2,832.62","2,847.36","2,770.34",40.22B,-1.67%
2-Jan-11,"2,838.80","2,825.33","2,868.01","2,807.87",41.23B,1.09%
26-Dec-10,"2,808.08","2,842.81","2,876.81","2,721.48",40.26B,-0.96%
19-Dec-10,"2,835.16","2,901.47","2,917.20","2,804.56",48.91B,-2.02%
12-Dec-10,"2,893.74","2,850.33","2,939.05","2,847.66",52.06B,1.85%
5-Dec-10,"2,841.04","2,850.38","2,884.53","2,792.52",43.84B,-0.05%
28-Nov-10,"2,842.43","2,861.15","2,881.16","2,758.92",51.08B,-1.02%
21-Nov-10,"2,871.70","2,861.61","2,904.97","2,791.58",60.21B,-0.58%
14-Nov-10,"2,888.57","2,984.87","3,016.13","2,806.64",67.40B,-3.24%
7-Nov-10,"2,985.43","3,140.40","3,186.72","2,975.16",102.63B,-4.60%
31-Oct-10,"3,129.50","2,986.89","3,142.59","2,986.89",98.99B,5.06%
24-Oct-10,"2,978.83","2,979.71","3,073.38","2,955.48",85.78B,0.13%
17-Oct-10,"2,975.04","2,985.46","3,041.15","2,931.91",95.03B,0.13%
10-Oct-10,"2,971.16","2,755.03","2,971.16","2,755.03",102.63B,8.49%
3-Oct-10,"2,738.74","2,681.25","2,747.80","2,677.99",13.58B,3.13%
26-Sep-10,"2,655.66","2,600.54","2,656.00","2,597.14",34.82B,2.47%
19-Sep-10,"2,591.55","2,601.48","2,607.35","2,573.63",13.76B,-0.27%
12-Sep-10,"2,598.69","2,665.66","2,703.78","2,583.34",56.28B,-2.42%
5-Sep-10,"2,663.21","2,667.20","2,704.93","2,628.83",61.60B,0.29%
29-Aug-10,"2,655.39","2,622.27","2,662.88","2,604.49",60.21B,1.71%
22-Aug-10,"2,610.74","2,637.82","2,667.17","2,588.64",45.59B,-1.19%
15-Aug-10,"2,642.31","2,603.79","2,701.93","2,596.77",62.94B,1.37%
8-Aug-10,"2,606.70","2,656.36","2,676.09","2,564.84",51.54B,-1.94%
1-Aug-10,"2,658.39","2,635.81","2,681.78","2,589.99",58.75B,0.79%
25-Jul-10,"2,637.50","2,576.37","2,656.41","2,556.47",54.28B,2.55%
18-Jul-10,"2,572.03","2,399.58","2,579.52","2,392.27",54.20B,6.10%
11-Jul-10,"2,424.27","2,468.54","2,501.02","2,389.07",39.85B,-1.89%
4-Jul-10,"2,470.92","2,358.76","2,485.60","2,335.57",30.58B,3.69%
27-Jun-10,"2,382.90","2,550.65","2,561.49","2,319.74",29.05B,-6.66%
20-Jun-10,"2,552.82","2,517.29","2,598.35","2,504.32",29.99B,1.58%
13-Jun-10,"2,513.22","2,588.97","2,595.51","2,505.33",12.22B,-2.21%
6-Jun-10,"2,569.94","2,508.33","2,590.98","2,491.65",36.59B,0.64%
30-May-10,"2,553.59","2,647.87","2,665.39","2,521.06",34.43B,-3.85%
23-May-10,"2,655.77","2,596.32","2,686.54","2,583.55",44.93B,2.80%
16-May-10,"2,583.52","2,663.88","2,663.88","2,481.97",38.71B,-4.19%
9-May-10,"2,696.63","2,690.86","2,751.07","2,604.20",40.87B,0.31%
2-May-10,"2,688.38","2,821.35","2,862.55","2,665.81",34.61B,-6.35%
25-Apr-10,"2,870.61","2,988.08","2,996.83","2,820.95",45.92B,-3.79%
18-Apr-10,"2,983.54","3,096.78","3,096.78","2,941.35",57.26B,-4.69%
11-Apr-10,"3,130.30","3,151.89","3,181.66","3,101.48",57.56B,-0.48%
4-Apr-10,"3,145.35","3,170.61","3,177.97","3,110.26",44.04B,-0.40%
28-Mar-10,"3,157.96","3,076.05","3,159.60","3,071.69",58.50B,3.21%
21-Mar-10,"3,059.72","3,069.66","3,083.34","3,009.91",46.19B,-0.26%
