,Beta,mu_IR,mu_ID,mu_EI,alpha,mu_AR,mu_PI,c_1,c_2,c_3,c_4,c_5,c_6,rho,N,tau,loglik,loglik.se
152,0.213777341,17.66671092,2.15E-06,0.521959768,0.410918909,0.157165321,0.125606687,1.141530298,0.777237059,0.350877412,0.986206488,0.735171895,0.154253301,0.867257725,39512223,20931.89568,-4173.704875,2.777544412
153,0.306390755,8.61397192,1.77E-06,0.583870811,0.49796743,0.162655194,2.16215691,1.748288857,1.143459475,0.779736918,1.340320668,1.237488606,0.524680111,0.321251678,39512223,5547.231438,-4174.008358,9.188148963
154,0.131207896,7.14900359,1.13E-05,0.621577697,0.731070519,0.172756915,0.361887384,2.441587306,1.802146898,1.079758003,2.092632875,1.80039182,0.709417626,0.56082508,39512223,5586.703594,-4175.469568,1.327025459
155,0.150011414,4.999681096,1.94E-06,0.637433908,0.685808634,0.123952013,0.163888632,1.416077854,1.162288202,0.433137386,1.450795073,1.035735047,0.085005057,0.727747224,39512223,12758.65466,-4175.656641,2.184938214
156,0.104649275,7.67959942,1.82E-06,1.531689843,0.783791255,0.104513727,0.435528183,2.13085545,1.413553562,0.81780018,1.677062847,1.425743776,0.103124087,0.764183562,39512223,13089.41042,-4175.690282,4.653352519
157,0.053186353,10.71740758,2.55E-06,4.314809478,0.250102315,0.003017993,1.460476388,5.477806327,3.745557858,0.356296372,0.404633611,1.662594899,0.157607326,0.285134678,39512223,8405.573255,-4176.220125,0.391960015
158,0.317610051,22.4935607,6.57E-07,2.862715302,0.648885053,0.101481817,0.481566454,0.795880888,0.567893138,0.272420756,0.614767251,0.606351549,0.129221168,0.294424258,39512223,2411.236445,-4179.004335,2.663807586
159,0.165520386,5.296465917,6.05E-07,2.029883773,0.668490863,0.136426191,1.522381085,1.451685968,1.549760608,0.646224541,1.691730477,1.3130872,0.164192482,0.846380313,39512223,29283.99381,-4180.0438,5.697765323
160,0.079992499,4.126023795,7.80E-06,12.50098938,0.170680037,0.197283487,0.137822876,2.40583454,2.311963797,1.189649896,2.434413021,1.98562183,0.121152692,0.629433204,39512223,11077.22097,-4180.822137,0.795367259
161,0.489698273,8.665995125,6.63E-07,0.558188308,0.898617241,0.354065697,0.101112072,0.818276768,0.791137627,0.350963443,0.869880758,1.022069759,1.313861464,0.11143494,39512223,9571.308824,-4181.219506,9.792731018
