Date,Close/Last,Volume,Open,High,Low
04/09/2021,13845.05,--,13709.67,13849.31,13674.92
04/08/2021,13758.5,--,13730.73,13763.18,13703.51
04/07/2021,13616.7,--,13553.9,13648.8,13532.63
04/06/2021,13578.46,--,13567.2,13660.29,13551.6
04/05/2021,13598.16,--,13434.04,13623.6,13420.81
04/01/2021,13329.51,--,13268.88,13333.41,13255.82
03/31/2021,13091.44,--,12970.33,13167.06,12966.65
03/30/2021,12896.53,--,12904.01,12929.46,12798.03
03/29/2021,12965.74,--,12950.51,13013.47,12836.6
03/26/2021,12979.12,--,12777.27,12992.3,12721.66
03/25/2021,12780.51,--,12707.58,12845.66,12627.93
03/24/2021,12798.88,--,13072.82,13077.49,12797.85
03/23/2021,13017.79,--,13127.17,13180.66,12993.5
03/22/2021,13086.51,--,12943.14,13167.46,12943.14
03/19/2021,12866.99,--,12792.67,12906.02,12704.07
03/18/2021,12789.14,--,13006.29,13040.36,12781.53
03/17/2021,13202.38,--,13024.83,13280.29,12950.08
03/16/2021,13152.28,--,13156.65,13297.48,13091.78
03/15/2021,13082.54,--,12936.13,13085.01,12885.64
03/12/2021,12937.29,--,12873.39,12943.58,12778.13
03/11/2021,13052.9,--,12960.53,13117.86,12920.01
03/10/2021,12752.07,--,12950.25,12979.38,12726.85
03/09/2021,12794.49,--,12635.45,12868.52,12592.83
03/08/2021,12299.08,--,12629.56,12718.58,12287.57
03/05/2021,12668.51,--,12594.16,12700.95,12208.39
03/04/2021,12464,--,12655.92,12799.08,12314.16
03/03/2021,12683.33,--,13020.1,13057.29,12679.89
03/02/2021,13059.95,--,13297.76,13301.62,13052.12
03/01/2021,13282.95,--,13106.02,13293.78,13051.7
02/26/2021,12909.44,--,12958.96,13090.36,12764.34
02/25/2021,12828.31,--,13197.75,13294.56,12773.76
02/24/2021,13302.19,--,13095.86,13312.42,12971.82
02/23/2021,13194.71,--,12982.36,13259.85,12758.12
02/22/2021,13223.74,--,13414.04,13447.37,13220.77
02/19/2021,13580.78,--,13686.23,13701.69,13545.45
02/18/2021,13637.51,--,13556.01,13669.94,13477.17
02/17/2021,13699.71,--,13636.15,13713.14,13552.66
02/16/2021,13773.77,--,13841.03,13879.77,13726.78
