Beta,mu_IR,mu_EI,rho,eta,N,loglik,loglik.se
18.573558626805568,2,12.24450423327163,0.2557187777059902,0.12586206896551724,38000,-119.7455428155324,1.2212934621037743
24.1842811042949,2,22.042798704315356,0.2948018662177359,0.09689655172413794,38000,-119.94306208162092,1.1330911716247472
12.648870638992543,2,17.57165505472746,0.1615466070338915,0.18379310344827587,38000,-120.14786503969079,0.34828913345878365
19.3047312234924,2,16.56854255672309,0.21349405954939416,0.12586206896551724,38000,-120.17369707145095,0.3472297839184633
15.310528548064955,2,72.15314697831982,0.1905694843458799,0.15482758620689654,38000,-120.39024342960745,0.23281027220696765
19.550198443335262,2,100.64341010753242,0.2355651470899393,0.12153195718635562,38000,-120.4212516967882,0.21655264120212678
15.372475628223576,2,78.11984072095784,0.1887748501413123,0.15326306797544859,38000,-120.47228928896257,0.10372829748159035
12.6633087962678,2,213.97326849024446,0.15804662213807516,0.18379310344827587,38000,-120.50002890528316,0.23196818805783878
17.228621171707896,2,21.64184139665219,0.21382303941830139,0.13705004415971664,38000,-120.51062774624219,0.14923090630555347
18.46617969573512,2,38.32996957601748,0.23427302918356302,0.12586206896551724,38000,-120.51599869208134,0.3052531636981107
12.592538817224082,2,138.970572601629,0.16534849289274886,0.18379310344827587,38000,-120.5228748236603,0.3626536191275302
16.337017287547543,2,40.397524146304235,0.2021588552674009,0.1447391102635712,38000,-120.55870327954688,0.13722913394151776
14.241301554543078,2,16.324390081834245,0.1887748501413123,0.16252671209874411,38000,-120.56552543607361,0.12645731296241902
19.018660483380874,2,18.104837575461328,0.27984191749971377,0.11747762832160939,38000,-120.5689332753056,0.3778002083472911
12.500703330142562,2,77.96596475257874,0.16798611023670906,0.18379310344827587,38000,-120.57748631563646,0.6631792643098909
20.137167352510883,2,8.407627516164794,0.23427302918356302,0.11940233203806186,38000,-120.58157806514652,0.18416215972477923
25.15995830868237,2,230.35913045867656,0.2924896483299324,0.09689655172413794,38000,-120.60024909747885,0.8477998960070077
15.145840879598563,2,31.72939900950692,0.19174148562706225,0.15480041980427403,38000,-120.60239884354606,0.11340463524967791
15.355599031279592,2,33.697457784184984,0.19262928660114886,0.15482758620689654,38000,-120.61315403706064,0.35429694732725253
16.942239728078803,2,16.742152576093893,0.19702035070223256,0.14131033420574188,38000,-120.62152300830147,0.11257819313777657
23.096349108829294,2,12.41518470711041,0.27965374232383666,0.10158721837865059,38000,-120.6242079094836,0.20964560818046676
18.072463580545932,2,18.444087881970173,0.24094546969036607,0.12586206896551724,38000,-120.65823752894894,0.5419190962622973
12.247322427380828,2,21.610198303441074,0.17527353852534866,0.18379310344827587,38000,-120.65937453781945,0.44210458529954805
18.426931592544076,2,50.127173979599725,0.22392904631256202,0.12597044841019106,38000,-120.66072908959879,0.16405100935582814
16.237641462737052,2,11.547086852324165,0.22380351326060263,0.14040588219898217,38000,-120.68507653768411,0.17334524135689078
17.694715863817134,2,31.391399399548433,0.20891711271496724,0.13450734110965132,38000,-120.68947491140108,0.0744964129013174
13.101443622471033,2,86.35133075436703,0.16534849289274886,0.17898573364889322,38000,-120.69875810728907,0.11470233233596762
16.297328552736463,2,12.011267992371863,0.21349405954939416,0.14192317215384545,38000,-120.69882855259965,0.17800640213375085
20.677814289684907,2,2519.5602972079973,0.26440472998554637,0.11159746099174696,38000,-120.70501111519582,0.17990547045133337
15.00078492938719,2,55.503283041552535,0.2020762037900448,0.1521659015041132,38000,-120.70991687794081,0.08646519482973007
17.661249978882108,2,30.634410077013165,0.22692895877299113,0.13140484818920864,38000,-120.71059852749536,0.08592021883063142
15.47641687153227,2,69.04780899084103,0.22692895877299113,0.1462854720878324,38000,-120.71198094716452,0.18401836923638787
23.841466999209587,2,8.701918893945624,0.265564315471442,0.10144525288092425,38000,-120.72127710919443,0.1672787472805127
19.084051688548847,2,37.700062375068605,0.22049317518592185,0.12586206896551724,38000,-120.734067484531,0.2617735092411207
15.537977961939548,2,68.9664204028279,0.18877485014131226,0.15347645813589683,38000,-120.75402171008282,0.11063186145732218
15.364843835431236,2,19.83038022746457,0.18037850642729647,0.15535295768447607,38000,-120.75666801152374,0.05518999191218941
14.679405377208242,2,23.54815567310343,0.2020762037900448,0.154684960858804,38000,-120.76368778173087,0.14355005064348234
21.27147209064571,2,18.26362853527528,0.2775359142000818,0.10817461710832628,38000,-120.76506205038294,0.12073437552492863
13.83991728208027,2,113.59416943103835,0.17527353852534866,0.1686969810116974,38000,-120.77078296479014,0.10048121291187581
23.699483156523495,2,17.856630073064327,0.2918700400731942,0.09689655172413794,38000,-120.78000814924303,0.30613045452166127
17.366572119804797,2,14.637444102432866,0.19566633688892043,0.1388657922789777,38000,-120.78217357728016,0.09950939107096923
16.981407545595708,2,92.2584773242564,0.20262797822918044,0.13913491839037445,38000,-120.78397258419521,0.116922770761998
12.039822372471198,2,25.039331144401178,0.15147081417817893,0.19409928490858414,38000,-120.78733817763005,0.1063588704454143
14.9781077222791,2,13.931923549892613,0.1956663368889204,0.15482758620689654,38000,-120.80182507332988,0.389573574939527
17.47113166300266,2,30.498234999163135,0.23967988867013332,0.13248919132280593,38000,-120.80483978340663,0.11577260663084042
12.693578485795559,2,165.45401432046208,0.16142015743001867,0.1834389654349455,38000,-120.81000154327505,0.07317345688121997
14.34125273478412,2,213.03479357725647,0.19174148562706225,0.16257360178382432,38000,-120.81664878988907,0.09332320226517563
13.86170083435313,2,19.697402372453894,0.16875063222091827,0.17034728298125346,38000,-120.81994813646288,0.0796482558244946
15.383345544085852,2,34.2189045255156,0.18035398302843744,0.15482758620689654,38000,-120.82133217551201,0.15203395521277316
14.708672720776685,2,32.6626437398605,0.2021588552674009,0.15482758620689654,38000,-120.82609876896751,0.40043751432055924
24.23255712909154,2,8.066075919888542,0.2892409336754232,0.09799094470977453,38000,-120.84692207550339,0.19656822454113018
14.792984508551747,2,58.86805225972361,0.19702035070223256,0.1567549214606744,38000,-120.85595925708073,0.11047485264819949
12.804207403676571,2,17.126145520340128,0.16798611023670906,0.1807372852497767,38000,-120.85634176003484,0.11548538402049434
16.412941823723646,2,255.66779353781692,0.194137356346203,0.14651132391425004,38000,-120.85827897238669,0.12201909826726508
18.9363331610891,2,22.888629528265476,0.2180098991650072,0.12586206896551724,38000,-120.86382768887795,0.3136137784477811
22.866662137805154,2,13.644778147273962,0.2892409336754232,0.10241957003246835,38000,-120.86419272155787,0.25160647537164677
16.707661957131098,2,29.835121900986586,0.1905694843458799,0.14544685188725517,38000,-120.86480278837683,0.06674317824051151
23.05536104864845,1.3,17.129381097543828,0.31109857984647216,0.07534460975446657,38000,-120.87753497336168,0.13590062084461452
25.283355902933373,2,4.428988038522044,0.27984191749971377,0.09658785528732876,38000,-120.88383246733392,0.181900286620494
22.065807642335805,2,13.32435973303688,0.2786139908363776,0.10455929211539948,38000,-120.88555861559948,0.20825494344100187
15.425478380808668,2,12.404603038433946,0.18037850642729647,0.15630230706041068,38000,-120.89072113318166,0.11953694482307706
11.456498047980267,2,62.243943859116996,0.1461491732653937,0.203426111699614,38000,-120.90593037659875,0.08181138185329266
13.602736248183247,2,667.7715213221089,0.1648729320250837,0.1742560695914537,38000,-120.91103253571306,0.09221819763774829
14.789290222306889,2,60.17767167122432,0.17687847281709806,0.1600302165405515,38000,-120.91523503972434,0.07838215743735352
15.162988501314908,2,16.960372665545016,0.19353883456323218,0.1535582057123342,38000,-120.91744050736348,0.11494360622615123
26.14680507215392,1.3,10.302489729185687,0.34146280832807957,0.06877482679604806,38000,-120.92116295749048,0.12502786070735028
14.94188300086474,2,55.14189166670293,0.1887284813746393,0.15482758620689654,38000,-120.92192459185681,0.2585357493690652
24.460250882302667,2,9.903267473882122,0.27965374232383666,0.09689655172413794,38000,-120.92825163956114,0.3146580588441061
10.937769954016124,2,54.12516174364114,0.14472832744998568,0.2127586206896552,38000,-120.93036030962406,0.1835490601223117
18.017266091914728,2,9.318883334554025,0.2020762037900448,0.13576465756309267,38000,-120.93419704594812,0.08538001809256208
21.72363298012649,1.3,50.60502524448592,0.284032246741978,0.08272663812114585,38000,-120.93884746324608,0.09674534053504427
14.209984084795858,2,452.47804553200655,0.18158613792134667,0.16691538138009962,38000,-120.94076672396653,0.12194221530129691
12.7583227166056,2,21.356397989891683,0.16208740102781172,0.18379310344827587,38000,-120.9417339022238,0.1791339529530551
