Beta,mu_EI,mu_IR,eta,N,rho,loglik,loglik.se
0.8775716459057034,0.09094898760441622,0.21921337569320762,0.49468309603701344,10000000,0.1,-10632.946295746802,1.0792883600039809
0.5041703612858013,0.170705043674852,0.3206538434492431,0.8661486148663285,10000000,0.1,-17206.35097021153,0.8525009830621473
0.8672490062881564,0.12112949390895411,0.41442047615643707,0.7339976280007667,10000000,0.1,-19960.926173066353,82.60714510859361
0.7287394775804118,0.18908615747023547,0.44685885055349966,0.8216530450682866,10000000,0.1,-48957.44286224616,1004.9197993459921
0.8347343174807648,0.06466910381333607,0.28464409960140946,0.5984850322325137,10000000,0.1,-51793.362599727116,56.44579592377849
0.9538788329143983,0.08737822444095364,0.5636421963965995,0.755942907213531,10000000,0.1,-69834.41251230957,1148.627194706774
0.7694836337688495,0.05572568691079106,0.2973826438473989,0.7083263869625437,10000000,0.1,-77195.66071875927,1004.2587951692883
0.7485287073124962,0.05607815664535306,0.29545500924099016,0.7218862590309411,10000000,0.1,-79442.49964977425,177.19011363786996
0.5966915453479579,0.06127913983202825,0.22560333668285543,0.7338068034612825,10000000,0.1,-80113.10558913575,71.25762253903957
0.7639092714756764,0.060048460927309026,0.3237108996497187,0.6941989858295389,10000000,0.1,-81461.63152139114,651.4320254601276
0.7492581609377578,0.048869906975433655,0.2338204405494791,0.6628938388060454,10000000,0.1,-84177.6783971321,614.6715923453172
0.812860473505784,0.06115049593791509,0.4978568510115934,0.9028741231905999,10000000,0.1,-93932.02722514971,100.06200197965516
0.307433623634575,0.10545874988159969,0.027875154369446847,0.6783995242966557,10000000,0.1,-98610.16144934905,53.24972386703158
0.7849687390543661,0.035900936762982574,0.11326241689092591,0.7388719348185422,10000000,0.1,-105225.08869852348,58.23863534715492
0.8483272997631823,0.15681553832396367,0.2794479409045996,0.5712612261646993,10000000,0.1,-105322.73394212633,145.00173921154928
0.8948641758142067,0.05734945588338771,0.45725942674377634,0.7546792362389482,10000000,0.1,-108108.32675544012,28.26935071181069
0.8112586993550138,0.06645926928012426,0.41431677723623783,0.6944424196347361,10000000,0.1,-120743.21927335364,259.1661572694283
0.8910784508252519,0.046538781846737716,0.42052111593950275,0.7851297851083406,10000000,0.1,-121926.4526874681,274.3922586140267
0.5939823165412285,0.0408820035385826,0.2634818028186724,0.9163773879238822,10000000,0.1,-147828.68483155858,343.420305452522
0.978233720782221,0.16576039909571877,0.23929420296782095,0.3690538500762768,10000000,0.1,-149629.44711807882,566.688573543317
0.6934537735903703,0.03448687937132592,0.13045904953536402,0.8222400562288287,10000000,0.1,-150247.48533884768,54.88760294646781
0.6391031038932649,0.03919808915423525,0.14822439192210846,0.8461349733326571,10000000,0.1,-158249.59844168933,285.7141978700354
0.8486483256095779,0.053605733444541497,0.5667986377130617,0.8939528607500287,10000000,0.1,-165380.5185171992,148.73674168713913
0.5584355975970593,0.3245814730279268,0.20395338687425002,0.4626113073467558,10000000,0.1,-174873.71735911805,397.62438824806014
0.5602556479299262,0.04828959025448119,0.28779732204443675,0.7754516035294365,10000000,0.1,-186531.7911027712,120.80176404431113
0.4791066694539434,0.047531602558590305,0.126432821034315,0.8952565177422717,10000000,0.1,-191490.4697120047,12.111166107794338
0.9472847449586779,0.042980814572996046,0.5436109768176003,0.8272836774499266,10000000,0.1,-201353.09023085298,683.8898474621003
