Beta,mu_EI,mu_IR,rho,eta,N,loglik,loglik.se
0.31,0.5,0.19,0.1,0.84,10000000,-54404.76088300745,41.456441456753964
0.5428591715017805,0.061835799905840955,0.13860891636422562,0.1,0.703371449665071,10000000,-85119.22835815644,135.67737880197092
0.3265313515680125,0.4018933778642904,0.20020980324187237,0.1,0.9126030262486223,10000000,-96271.06367179136,142.02502907821616
0.5235692701815701,0.04888809748544003,0.07446697209681705,0.1,0.7334739805681879,10000000,-124626.6043680859,146.15855240034287
0.481099855900541,0.06258108268826611,0.19643782716574648,0.1,0.8901483244506371,10000000,-133057.46850864802,116.64991800849674
0.5887774927846955,0.04094528264803139,0.1362372608065078,0.1,0.7856583105526402,10000000,-142454.78027412406,529.8889287415105
0.5649425735164306,0.045257043101756975,0.11737560086785517,0.1,0.8051176544567625,10000000,-146809.75583163745,224.20472853624665
0.5836820420987444,0.04389007800070677,0.08361336045408667,0.1,0.8081520905961701,10000000,-147690.7966158384,253.2924705758487
0.46691714537585816,0.05417116088531097,0.07489838107470773,0.1,0.8231177872359089,10000000,-163952.26736486558,10.749404730340874
0.6051941913739235,0.025951829033203058,0.09217379810250019,0.1,0.7896581235017549,10000000,-175178.22692035575,197.21388363004078
0.58493589260475,0.019707967267305043,0.0834964375301232,0.1,0.7863559698342991,10000000,-209703.9864775924,467.872604385973
0.6192211032564278,0.017188761299880412,0.08242054784658485,0.1,0.8292329170970586,10000000,-216155.272997018,49.2657281395368
0.5840324524996675,0.018790626403272826,0.08277276584718882,0.1,0.7286680403491976,10000000,-227066.74288140476,328.15621867421424
0.5067260676218205,0.027556008419795396,0.08228029620367516,0.1,0.956177354966183,10000000,-235218.55300478038,266.7474000611866
0.4284588319729687,0.02217265263655018,0.06938301791459493,0.1,0.9010030980632168,10000000,-247589.04968146118,172.44243893153615
0.4291498028777146,0.03466313487426652,0.16932248151717358,0.1,0.7387717582442541,10000000,-256590.11332229062,46.13810807557893
0.3320807557290067,0.02333851686125442,0.11082544420632225,0.1,0.8669405477669883,10000000,-334692.1863465434,1731.116283476137
0.4223914191620637,0.015849440800582832,0.10196245170242821,0.1,0.8594847673598472,10000000,-381827.3402437411,988.0821834315835
0.35929629822453574,0.02070144441516819,0.11130339211259856,0.1,0.7908974015617858,10000000,-414704.2253193977,995.3692838902235
0.3467870489534407,0.017552446088751915,0.08993225050541237,0.1,0.8443452970198502,10000000,-417147.7430228313,1236.808792822488
